telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Erdőhorváti,447,272,266,60.85,59.51,164,73,1,1,,1,24,2,,,,,,,266,59.51,63,,2,,22,163,Falu
Erdőkertes,7082,4792,4733,67.66,66.83,2494,1685,148,72,,46,263,,25,,,,,,4744,66.99,1731,48,178,55,298,2432,Kisváros
Erdőkövesd,490,314,312,64.08,63.67,211,82,,1,,,15,3,,,,,,,309,63.06,78,1,4,2,22,202,Falu
Erdőkürt,436,322,319,73.85,73.17,199,75,8,5,1,4,27,,,,,,,,319,73.17,83,2,8,5,23,192,Falu
Erdősmárok,54,46,42,85.19,77.78,35,5,,1,,,1,,,,,,,,42,77.78,4,,2,,2,34,Falu
Erdősmecske,278,176,174,63.31,62.59,137,26,,,2,,9,,,,,,,,175,62.95,27,,,,6,121,Falu
Erdőtarcsa,413,274,265,66.34,64.16,197,41,2,,,,25,,,,,,,,270,65.38,44,1,4,1,27,191,Falu
Erdőtelek,2483,1433,1399,57.71,56.34,991,312,,16,4,,76,,,,,,,,1400,56.38,320,6,8,8,65,992,Falu
Erk,594,320,313,53.87,52.69,263,42,,,,,8,,,,,,,,315,53.03,45,,2,,10,258,Falu
Érpatak,1280,828,816,64.69,63.75,610,156,7,4,,6,33,,,,,,,,817,63.83,160,6,8,3,36,603,Falu
Érsekcsanád,2266,1423,1401,62.8,61.83,898,356,22,6,,,119,,,,,,,,1404,61.96,322,11,32,8,140,873,Falu
Érsekhalma,479,295,290,61.59,60.54,157,97,12,2,,,22,,,,,,,,291,60.75,94,2,16,2,28,148,Falu
Érsekvadkert,2801,1847,1830,65.94,65.33,1181,378,30,17,8,18,198,,,,,,,,1829,65.3,422,15,32,11,158,1191,Falu
Értény,508,312,304,61.42,59.84,257,24,,1,,1,21,,,,,,,,308,60.63,24,1,,,17,265,Falu
Erzsébet,230,143,138,62.17,60,83,34,,3,,,18,,,,,,,,141,61.3,31,1,,,22,79,Falu
Esztár,1079,677,671,62.74,62.19,526,98,,6,1,,19,21,,,,,,,670,62.09,112,1,10,5,22,519,Falu
Eszteregnye,547,404,398,73.86,72.76,227,124,8,5,,4,30,,,,,,,,403,73.67,123,5,7,6,31,231,Falu
Esztergályhorváti,322,206,202,63.98,62.73,128,48,3,,,3,20,,,,,,,,203,63.04,44,2,3,2,25,127,Falu
Esztergom,23736,16946,16738,71.39,70.52,8510,6466,446,,,335,797,184,,,,,,,16730,70.48,6419,176,686,127,1019,8263,Középváros
Ete,475,360,358,75.79,75.37,244,73,9,4,,5,23,,,,,,,,358,75.37,64,5,10,3,24,252,Falu
Etes,1007,563,552,55.91,54.82,359,126,13,2,3,3,46,,,,,,,,556,55.21,135,6,11,2,45,357,Falu
Etyek,3415,2599,2572,76.11,75.31,1491,873,81,19,3,,105,,,,,,,,2563,75.05,895,11,91,25,115,1373,Falu
Fábiánháza,1329,755,743,56.81,55.91,598,91,10,4,,7,33,,,,,,,,743,55.91,93,8,6,5,29,602,Falu
Fábiánsebestyén,1548,1094,1076,70.67,69.51,605,321,,14,,,107,29,,,,,,,1079,69.7,334,12,22,11,107,593,Falu
Fácánkert,556,368,363,66.19,65.29,246,92,6,2,,,17,,,,,,,,364,65.47,88,,8,1,22,245,Falu
Fadd,3234,2054,2029,63.51,62.74,1329,529,43,7,5,,116,,,,,,,,2036,62.96,465,15,49,15,117,1375,Falu
Fáj,273,216,213,79.12,78.02,213,,,,,,,,,,,,,,216,79.12,,,,,1,215,Falu
Fajsz,1291,842,826,65.22,63.98,514,218,23,9,,,62,,,,,,,,829,64.21,218,10,16,3,62,520,Falu
Fajsz,1291,842,826,65.22,63.98,514,218,23,9,,,62,,,,,,,,829,64.21,218,10,16,3,62,520,Falu
Fancsal,253,178,176,70.36,69.57,102,59,2,1,,,12,,,,,,,,177,69.96,58,1,2,1,13,102,Falu
Farád,1532,1217,1202,79.44,78.46,931,210,,12,,,48,,,,,1,,,1205,78.66,218,5,20,8,50,903,Falu
Farkasgyepű,309,236,230,76.38,74.43,131,79,4,5,,,11,,,,,,,,226,73.14,66,3,2,3,12,115,Falu
Farkaslyuk,1198,682,663,56.93,55.34,482,152,5,3,2,,10,9,,,,,,,669,55.84,134,6,3,4,17,505,Falu
Farmos,2824,1732,1702,61.33,60.27,978,498,52,27,,7,140,,,,,,,,1716,60.76,486,9,47,21,140,1013,Falu
Fazekasboda,152,103,99,67.76,65.13,74,18,,1,,,6,,,,,,,,98,64.47,17,,,,4,44,Falu
Fedémes,249,188,183,75.5,73.49,139,35,,,,,8,1,,,,,,,183,73.49,28,,6,,11,138,Falu
Fegyvernek,5037,2835,2770,56.28,54.99,1541,971,,19,13,,226,,,,,,,,2787,55.33,912,32,36,18,232,1557,Kisváros
Fehérgyarmat,6161,4195,4130,68.09,67.03,2427,1403,,44,,33,206,,,17,,,,,4156,67.46,1231,19,61,34,211,2600,Kisváros
Fehértó,360,260,257,72.22,71.39,164,56,,3,,,30,,,,,4,,,257,71.39,51,1,12,5,27,161,Falu
Fehérvárcsurgó,1698,1216,1200,71.61,70.67,709,322,35,12,2,14,106,,,,,,,,1203,70.85,321,11,31,14,114,710,Falu
Feked,151,128,127,84.77,84.11,73,46,,3,,,5,,,,,,,,123,81.46,29,,1,2,7,40,Falu
Feketeerdő,434,343,340,79.03,78.34,182,119,12,5,,1,21,,,,,,,,340,78.34,125,1,17,6,20,170,Falu
Felcsút,1440,1204,1146,83.61,79.58,813,230,40,18,1,,44,,,,,,,,1156,80.28,232,2,41,24,37,816,Falu
Feldebrő,770,509,498,66.1,64.68,306,136,,5,,,38,13,,,,,,,499,64.81,130,15,8,6,48,292,Falu
Felgyő,942,652,645,69.21,68.47,390,146,,5,,,92,12,,,,,,,648,68.79,160,3,18,3,71,393,Falu
Felpéc,746,553,549,74.13,73.59,357,142,,9,,9,32,,,,,,,,551,73.86,147,8,19,5,39,333,Falu
Felsőberecki,208,127,126,61.06,60.58,85,28,2,2,,,8,1,,,,,,,124,59.62,32,,2,1,4,85,Falu
Felsőcsatár,381,298,293,78.22,76.9,191,67,8,3,,2,22,,,,,,,,286,75.07,61,,11,2,22,161,Falu
Felsődobsza,670,343,329,51.19,49.1,239,68,3,2,,3,13,1,,,,,,,334,49.85,71,2,2,2,19,238,Falu
Felsőegerszeg,108,72,69,66.67,63.89,51,13,2,,,,2,1,,,,,,,68,62.96,13,,3,,3,49,Falu
Felsőgagy,148,88,87,59.46,58.78,70,9,1,3,,,3,,,,1,,,,85,57.43,8,,4,3,,70,Falu
Felsőjánosfa,150,135,134,90,89.33,100,24,,1,,,9,,,,,,,,133,88.67,21,,3,3,9,97,Falu
Felsőkelecsény,298,199,196,66.78,65.77,109,37,1,2,2,,5,40,,,,,,,198,66.44,58,2,1,2,12,123,Falu
Felsőlajos,757,528,525,69.75,69.35,358,107,16,,,8,36,,,,,,,,525,69.35,103,7,15,7,38,355,Falu
Felsőmarác,216,164,162,75.93,75,102,51,,1,,,8,,,,,,,,163,75.46,47,1,5,,7,103,Falu
Felsőmocsolád,271,162,160,59.78,59.04,117,38,,,2,3,,,,,,,,,161,59.41,40,1,1,,8,111,Falu
Felsőnána,474,355,353,74.89,74.47,243,82,,2,,6,20,,,,,,,,355,74.89,78,6,9,,25,230,Falu
Felsőnyárád,783,495,488,63.22,62.32,186,98,6,1,,2,25,170,,,,,,,488,62.32,184,12,10,5,53,223,Falu
Felsőnyék,808,493,486,61.01,60.15,372,86,,1,,,27,,,,,,,,488,60.4,77,2,1,1,26,381,Falu
Felsőörs,1496,1166,1150,77.94,76.87,605,373,47,17,,20,88,,,,,,,,1158,77.41,365,15,59,19,105,593,Falu
Felsőpáhok,539,387,386,71.8,71.61,251,99,5,,,6,25,,,,,,,,386,71.61,94,4,6,2,34,246,Falu
Felsőpakony,2925,2087,2058,71.35,70.36,1136,608,83,55,,19,157,,,,,,,,2065,70.6,647,14,69,29,152,1151,Falu
Felsőpetény,461,355,353,77.01,76.57,256,52,7,1,1,7,29,,,,,,,,354,76.79,54,3,6,1,29,261,Falu
Felsőrajk,588,410,400,69.73,68.03,278,93,3,,,1,25,,,,,,,,403,68.54,85,2,5,,28,283,Falu
Felsőregmec,197,122,116,61.93,58.88,113,2,,,,,1,,,,,,,,119,60.41,8,,,,2,109,Falu
Felsőszenterzsébet,14,13,13,92.86,92.86,5,6,,,,,2,,,,,,,,13,92.86,6,,,,2,5,Falu
Felsőszentiván,1509,952,935,63.09,61.96,532,296,27,16,,,64,,,,,,,,940,62.29,298,8,20,11,71,529,Falu
Felsőszentmárton,670,434,423,64.78,63.13,295,87,11,3,,,19,8,,,,,,,419,62.54,75,10,8,1,22,208,Falu
Felsőszölnök,465,340,336,73.12,72.26,246,67,,7,,,16,,,,,,,,337,72.47,46,6,4,1,20,211,Falu
Felsőtárkány,2766,2021,2000,73.07,72.31,990,727,52,21,,19,191,,,,,,,,2005,72.49,703,15,55,28,196,1006,Falu
Felsőtelekes,509,298,291,58.55,57.17,216,49,2,1,,,4,19,,,,,,,296,58.15,60,2,4,1,7,222,Falu
Felsőtold,113,83,83,73.45,73.45,38,42,1,1,,,1,,,,,,,,83,73.45,37,,3,1,2,40,Falu
Felsővadász,365,209,204,57.26,55.89,164,30,2,2,1,1,3,,,1,,,,,209,57.26,36,1,2,,4,166,Falu
Felsőzsolca,5140,3575,3530,69.55,68.68,1929,1242,61,61,6,20,211,,,,,,,,3535,68.77,1267,19,76,53,199,1915,Kisváros
Fényeslitke,1944,1321,1305,67.95,67.13,892,306,,17,5,6,79,,,,,,,,1314,67.59,347,9,14,15,74,855,Falu
Fenyőfő,72,46,45,63.89,62.5,28,12,,1,,,4,,,,,,,,44,61.11,13,,1,1,3,26,Falu
Ferencszállás,525,356,348,67.81,66.29,164,130,15,14,,1,20,4,,,,,,,348,66.29,120,4,19,6,23,175,Falu
Fertőboz,233,177,174,75.97,74.68,108,48,,7,,,11,,,,,,,,171,73.39,49,,4,3,8,106,Falu
Fertőd,2588,1964,1942,75.89,75.04,1257,499,,30,,,156,,,,,,,,1946,75.19,493,9,51,16,141,1229,Falu
Fertőendréd,505,407,397,80.59,78.61,290,63,,6,,,35,,,,,3,,,400,79.21,69,3,12,6,37,273,Falu
Fertőhomok,678,541,532,79.79,78.47,315,156,,16,,,45,,,,,,,,536,79.06,146,3,28,14,41,303,Falu
Fertőrákos,1800,1260,1248,70,69.33,656,463,,37,,,92,,,,,,,,1247,69.28,432,5,38,28,88,587,Falu
Fertőszentmiklós,3056,2398,2373,78.47,77.65,1549,579,,26,,,219,,,,,,,,2375,77.72,555,13,69,23,200,1514,Falu
Fertőszéplak,1013,742,732,73.25,72.26,508,167,,10,,,47,,,,,,,,734,72.46,168,3,22,10,52,479,Falu
Fiad,93,64,62,68.82,66.67,41,17,,1,2,1,,,,,,,,,63,67.74,18,1,,,3,41,Falu
Filkeháza,76,54,53,71.05,69.74,43,9,1,,,,,,,,,,,,53,69.74,6,,2,,,36,Falu
Fityeház,523,374,371,71.51,70.94,244,99,8,1,,1,18,,,,,,,,367,70.17,93,1,7,,19,242,Falu
Foktő,1230,825,808,67.07,65.69,459,251,,23,,11,64,,,,,,,,815,66.26,240,9,19,8,66,469,Falu
Foktő,1230,825,808,67.07,65.69,459,251,,23,,11,64,,,,,,,,815,66.26,240,9,19,8,66,469,Falu
Folyás,229,135,134,58.95,58.52,89,36,,5,,2,2,,,,,,,,133,58.08,35,3,1,3,6,85,Falu
Fonó,243,148,145,60.91,59.67,89,53,,2,,1,,,,,,,,,147,60.49,52,1,3,1,6,84,Falu
Fony,241,147,146,61,60.58,105,29,,2,,2,7,1,,,,,,,147,61,30,4,1,1,8,103,Falu
Fonyód,64,44,44,68.75,68.75,33,11,,,,,,,,,,,,,44,68.75,11,,,,,33,Falu
Forráskút,4059,2923,2903,72.01,71.52,1418,1257,,30,,,198,,,,,,,,2907,71.62,1083,6,77,23,192,1525,Kisváros
Forró,1625,1137,1122,69.97,69.05,687,279,26,8,,12,110,,,,,,,,1123,69.11,286,9,28,10,83,707,Falu
Fót,1922,1233,1209,64.15,62.9,877,277,7,7,2,4,32,,,2,1,,,,1216,63.27,249,4,9,11,42,900,Falu
Földeák,15998,11988,11866,74.93,74.17,5574,4869,394,224,,99,643,,63,,,,,,11866,74.17,4763,118,466,170,678,5660,Középváros
Földes,2452,1735,1705,70.76,69.54,1042,532,23,8,,,100,,,,,,,,1706,69.58,519,6,33,7,129,1012,Falu
Főnyed,3198,2092,2056,65.42,64.29,1382,496,,9,7,13,149,,,,,,,,2063,64.51,464,15,34,16,166,1368,Falu
Fulókércs,266,135,129,50.75,48.5,98,25,,5,,,1,,,,,,,,135,50.75,24,1,,,1,109,Falu
Furta,896,553,540,61.72,60.27,309,130,,7,,4,20,70,,,,,,,546,60.94,146,5,5,8,35,347,Falu
Füle,102,78,78,76.47,76.47,46,16,5,1,,,10,,,,,,,,78,76.47,14,,2,3,12,46,Falu
Fülesd,717,522,521,72.8,72.66,308,140,22,2,,7,42,,,,,,,,519,72.38,132,4,25,1,48,308,Falu
Fülöp,345,225,223,65.22,64.64,152,60,,2,,1,7,,,1,,,,,223,64.64,51,,3,1,7,161,Falu
Fülöpháza,1323,809,796,61.15,60.17,609,140,,7,1,4,33,,,,,,2,,803,60.7,139,6,13,6,36,603,Falu
Fülöpjakab,690,486,481,70.43,69.71,299,122,15,,,2,43,,,,,,,,482,69.86,133,2,7,8,33,299,Falu
Fülöpszállás,909,655,651,72.06,71.62,444,117,18,8,,,64,,,,,,,,652,71.73,132,2,22,5,73,418,Falu
Fülpösdaróc,1821,1076,1057,59.09,58.05,739,198,14,14,,,92,,,,,,,,1068,58.65,203,9,12,17,92,734,Falu
Fürged,255,194,189,76.08,74.12,137,32,,2,,1,17,,,,,,,,190,74.51,27,,,,14,149,Falu
Füzér,501,271,268,54.09,53.49,186,55,,4,,1,22,,,,,,,,269,53.69,50,1,3,2,25,188,Falu
Füzér,282,216,210,76.6,74.47,123,52,4,1,,2,24,4,,,,,,,207,73.4,40,3,5,1,24,120,Falu
Füzérkajata,282,216,210,76.6,74.47,123,52,4,1,,2,24,4,,,,,,,207,73.4,40,3,5,1,24,120,Falu
Füzérkomlós,84,57,54,67.86,64.29,29,21,,,,,4,,,,,,,,54,64.29,18,,,,4,32,Falu
Füzérradvány,222,170,166,76.58,74.77,98,44,6,2,,1,14,1,,,,,,,166,74.77,46,2,7,,11,100,Falu
Füzesabony,241,147,141,61,58.51,100,33,,1,,,7,,,,,,,,145,60.17,26,,1,2,8,107,Falu
Füzesgyarmat,5856,3717,3671,63.47,62.69,2091,1172,80,35,,36,257,,,,,,,,3691,63.03,1153,27,73,32,261,2145,Kisváros
Fűzvölgy,4388,2809,2763,64.02,62.97,1373,1061,49,31,10,20,219,,,,,,,,2785,63.47,999,32,57,23,254,1418,Kisváros
Gáborján,643,410,401,63.76,62.36,289,51,,,,1,13,47,,,,,,,406,63.14,51,2,4,,14,335,Falu
Gáborjánháza,46,36,35,78.26,76.09,25,8,1,1,,,,,,,,,,,35,76.09,6,,1,1,,27,Falu
Gacsály,638,369,361,57.84,56.58,314,40,,,,2,4,,,1,,,,,364,57.05,40,1,1,1,2,319,Falu
Gadács,68,40,38,58.82,55.88,24,14,,,,,,,,,,,,,40,58.82,12,,,,2,26,Falu
Gadány,244,139,131,56.97,53.69,88,38,,2,,,3,,,,,,,,136,55.74,20,4,1,1,4,106,Falu
Gadna,158,118,118,74.68,74.68,118,,,,,,,,,,,,,,118,74.68,,,,,,118,Falu
Gádoros,2826,1729,1698,61.18,60.08,961,545,39,5,6,9,115,18,,,,,,,1697,60.05,520,16,29,11,151,970,Falu
Gagyapáti,28,19,19,67.86,67.86,10,8,,,,1,,,,,,,,,19,67.86,9,1,,,,9,Falu
Gagybátor,127,86,77,67.72,60.63,63,10,,,1,,3,,,,,,,,85,66.93,8,,,,3,74,Falu
Gagyvendégi,147,95,88,64.63,59.86,66,21,,,,,1,,,,,,,,92,62.59,20,1,4,1,2,64,Falu
Galambok,934,571,569,61.13,60.92,383,134,6,6,,5,35,,,,,,,,568,60.81,116,9,14,3,42,384,Falu
Galgaguta,494,340,335,68.83,67.81,200,81,3,4,4,2,41,,,,,,,,338,68.42,84,5,5,4,30,208,Falu
Galgagyörk,755,530,522,70.2,69.14,360,119,4,6,,3,30,,,,,,,,525,69.54,121,3,9,7,25,354,Falu
Galgahévíz,2108,1487,1469,70.54,69.69,937,397,38,10,,12,75,,,,,,,,1473,69.88,393,12,45,12,85,926,Falu
Galgamácsa,1503,1023,1007,68.06,67,571,289,29,16,,5,76,21,,,,,,,1014,67.47,290,6,32,13,80,592,Falu
Gálosfa,175,113,110,64.57,62.86,91,7,,1,3,,6,2,,,,,,,113,64.57,10,,,,7,96,Falu
Galvács,67,60,57,89.55,85.07,51,4,1,,,,1,,,,,,,,58,86.57,3,,,,1,54,Falu
Gamás,548,322,317,58.76,57.85,258,48,,2,,,9,,,,,,,,322,58.76,43,2,3,3,12,259,Falu
Ganna,205,161,160,78.54,78.05,96,41,7,2,,,14,,,,,,,,159,77.56,35,6,11,1,9,76,Falu
Gánt,501,381,375,76.05,74.85,238,99,10,4,,,24,,,,,,,,380,75.85,95,1,9,3,23,200,Falu
Gara,1555,900,892,57.88,57.36,529,249,25,2,,,87,,,,,,,,887,57.04,220,6,21,4,87,510,Falu
Garáb,31,26,26,83.87,83.87,17,5,,,,,4,,,,,,,,25,80.65,3,,,,5,17,Falu
Garabonc,496,291,281,58.67,56.65,205,45,3,,,1,27,,,,,,,,281,56.65,42,1,3,5,24,206,Falu
Garadna,269,197,193,73.23,71.75,128,48,1,1,,1,9,5,,,,,,,193,71.75,51,2,2,1,8,128,Falu
Garbolc,112,90,89,80.36,79.46,80,8,,,,,1,,,,,,,,89,79.46,5,,,,1,83,Falu
Gárdony,9517,7110,7040,74.71,73.97,3353,2836,282,134,16,,419,,,,,,,,7054,74.12,2820,41,304,99,427,3359,Kisváros
Garé,228,154,150,67.54,65.79,84,54,3,3,,,6,,,,,,,,154,67.54,54,1,7,2,7,83,Falu
Gasztony,350,245,243,70,69.43,184,44,,2,,,13,,,,,,,,245,70,43,1,8,1,11,181,Falu
Gátér,736,513,503,69.7,68.34,336,112,27,8,,,20,,,,,,,,508,69.02,117,3,21,7,30,330,Falu
Gávavencsellő,2555,1583,1558,61.96,60.98,1105,349,,11,,10,72,11,,,,,,,1563,61.17,345,8,14,6,68,1072,Falu
Géberjén,388,300,292,77.32,75.26,223,53,,1,,,15,,,,,,,,295,76.03,51,1,4,1,19,219,Falu
Gecse,301,209,201,69.44,66.78,151,34,3,,,,13,,,,,,,,201,66.78,33,,4,,14,150,Falu
Géderlak,744,498,490,66.94,65.86,295,141,,11,,4,39,,,,,,,,492,66.13,142,4,9,6,33,298,Falu
Géderlak,744,498,490,66.94,65.86,295,141,,11,,4,39,,,,,,,,492,66.13,142,4,9,6,33,298,Falu
Gégény,1498,848,838,56.61,55.94,567,199,,11,3,18,40,,,,,,,,842,56.21,225,11,10,6,45,545,Falu
Gelej,438,346,345,79,78.77,269,48,4,3,,1,18,2,,,,,,,338,77.17,56,2,3,3,20,254,Falu
Gelénes,442,273,267,61.76,60.41,221,37,,2,,,5,,,2,,,,,270,61.09,30,,2,1,6,231,Falu
Gellénháza,1219,920,915,75.47,75.06,529,245,23,12,,10,71,24,,1,,,,,914,74.98,269,7,21,7,85,525,Falu
Gelse,842,546,538,64.85,63.9,276,209,6,,,5,42,,,,,,,,541,64.25,204,2,3,6,40,286,Falu
Gelsesziget,205,146,141,71.22,68.78,90,39,1,2,,2,7,,,,,,,,145,70.73,32,4,,3,11,95,Falu
Gemzse,614,401,397,65.31,64.66,297,87,,1,,3,9,,,,,,,,396,64.5,87,3,2,,12,292,Falu
Gencsapáti,2084,1727,1707,82.87,81.91,1002,522,54,20,,10,99,,,,,,,,1709,82.01,538,14,57,22,109,964,Falu
Gérce,888,594,585,66.89,65.88,394,124,,11,,,56,,,,,,,,588,66.22,122,3,10,10,47,396,Falu
Gerde,397,219,214,55.16,53.9,148,40,5,2,,,7,12,,,,,,,219,55.16,49,,4,4,8,154,Falu
Gerendás,939,627,615,66.77,65.5,349,203,4,2,,2,50,5,,,,,,,620,66.03,196,2,9,3,60,348,Falu
Gerényes,149,80,79,53.69,53.02,69,9,,,,,1,,,,,,,,80,53.69,5,1,,1,3,70,Falu
Geresdlak,596,393,389,65.94,65.27,265,102,,3,1,,18,,,,,,,,387,64.93,83,,9,1,15,229,Falu
Gerjen,970,630,621,64.95,64.02,472,114,,5,,3,27,,,,,,,,628,64.74,120,2,10,2,24,470,Falu
Gersekarát,565,418,415,73.98,73.45,297,87,,8,,,23,,,,,,,,414,73.27,68,1,5,7,32,301,Falu
Geszt,559,360,356,64.4,63.69,298,45,,1,1,,11,,,,,,,,355,63.51,37,2,2,,15,298,Falu
Gesztely,2010,1367,1332,68.01,66.27,914,376,,15,6,12,,9,,,,,,,1341,66.72,354,7,20,15,62,883,Falu
Geszteréd,1373,860,846,62.64,61.62,603,176,9,7,,7,44,,,,,,,,850,61.91,178,3,11,6,40,612,Falu
Gétye,68,46,46,67.65,67.65,31,15,,,,,,,,,,,,,46,67.65,13,,1,,1,31,Falu
Gibárt,288,200,196,69.44,68.06,120,53,3,2,1,,17,,,,,,,,198,68.75,53,1,6,2,16,119,Falu
Gic,284,211,208,74.3,73.24,166,30,1,1,,,10,,,,,,,,210,73.94,33,2,,2,12,161,Falu
Gige,272,157,154,57.72,56.62,124,22,,3,,,5,,,,,,,,155,56.99,22,,1,4,4,124,Falu
Gilvánfa,249,132,131,53.01,52.61,118,7,4,2,,,,,,,,,,,132,53.01,6,,3,1,1,121,Falu
Girincs,612,377,372,61.6,60.78,280,78,,3,1,5,,5,,,,,,,370,60.46,72,2,12,2,6,276,Falu
Gógánfa,620,389,374,62.74,60.32,243,110,6,4,,,,11,,,,,,,375,60.48,76,2,9,1,30,257,Falu
Golop,440,334,329,75.91,74.77,236,68,4,1,,1,17,2,,,,,,,330,75,70,2,4,2,23,229,Falu
Gomba,2501,1635,1614,65.37,64.53,987,406,56,25,,,140,,,,,,,,1614,64.53,422,11,68,25,133,954,Falu
Gombosszeg,35,24,24,68.57,68.57,11,10,2,,,,1,,,,,,,,24,68.57,10,,2,,1,11,Falu
Gór,225,171,171,76,76,123,29,9,1,,,9,,,,,,,,171,76,33,1,12,2,11,112,Falu
Gordisa,227,128,127,56.39,55.95,89,24,3,1,,,8,2,,,,,,,126,55.51,25,,3,,10,88,Falu
Gosztola,238,166,164,69.75,68.91,132,20,2,,,1,9,,,,,,,,166,69.75,22,,2,3,7,132,Falu
Göd,44,36,34,81.82,77.27,20,13,,,,,,1,,,,,,,36,81.82,16,,,,,20,Falu
Gödöllő,16147,12895,12757,79.86,79.01,5747,5314,635,190,,73,598,,200,,,,,,12786,79.18,5379,88,796,197,660,5656,Középváros
Gödre,26354,20724,20511,78.64,77.83,8696,9154,786,449,,132,1079,215,,,,,,,20539,77.94,8712,113,1044,291,1064,9248,Középváros
Gölle,616,403,399,65.42,64.77,318,53,1,2,,,23,2,,,,,,,392,63.64,53,4,6,3,18,288,Falu
Gömörszőlős,654,402,398,61.47,60.86,279,112,,3,2,2,,,,,,,,,399,61.01,103,,1,,20,274,Falu
Gönc,65,51,51,78.46,78.46,35,8,3,,,,2,3,,,,,,,50,76.92,11,,4,,5,30,Falu
Göncruszka,1417,894,866,63.09,61.12,606,191,2,5,2,,54,6,,,,,,,877,61.89,195,1,7,5,67,602,Falu
Gönyű,427,266,257,62.3,60.19,178,59,2,3,1,1,11,2,,,,,,,261,61.12,49,,1,4,17,190,Falu
Görbeháza,2561,1787,1768,69.78,69.04,1136,448,,38,,14,132,,,,,,,,1777,69.39,434,12,74,31,143,1082,Falu
Görcsöny,1878,1219,1203,64.91,64.06,774,304,,20,4,15,86,,,,,,,,1212,64.54,310,11,34,15,92,750,Falu
Görcsönydoboka,1264,806,787,63.77,62.26,448,220,32,6,,,62,19,,,,,,,770,60.92,230,5,33,3,59,426,Falu
Görgeteg,298,177,174,59.4,58.39,96,54,,2,,,22,,,,,,,,169,56.71,47,,1,,19,62,Falu
Gősfa,832,467,456,56.13,54.81,301,139,,3,,,13,,,,,,,,462,55.53,110,2,9,2,14,325,Falu
Grábóc,129,98,97,75.97,75.19,82,9,,,,,6,,,,,,,,96,74.42,8,,2,,7,79,Falu
Gulács,758,451,436,59.5,57.52,334,69,,5,,4,24,,,,,,,,441,58.18,71,5,5,2,23,335,Falu
Gutorfölde,810,551,540,68.02,66.67,321,137,21,8,,7,46,,,,,,,,546,67.41,143,6,23,8,51,315,Falu
Gyál,19094,12843,12675,67.26,66.38,6284,4559,553,253,,112,914,,,,,,,,12732,66.68,4749,104,511,178,865,6313,Középváros
Gyalóka,53,45,43,84.91,81.13,35,8,,,,,,,,,,,,,43,81.13,9,,2,,2,30,Falu
Gyanógeregye,131,106,105,80.92,80.15,72,22,,2,,,9,,,,,,,,104,79.39,22,,3,,6,73,Falu
Gyarmat,1090,777,765,71.28,70.18,555,152,,14,,,40,,,,,4,,,768,70.46,158,12,19,9,36,534,Falu
Gyékényes,775,540,530,69.68,68.39,354,151,,7,,,18,,,,,,,,536,69.16,129,2,8,8,31,358,Falu
Gyenesdiás,2977,2240,2213,75.24,74.34,1267,723,79,,,19,125,,,,,,,,2222,74.64,734,18,72,21,123,1254,Falu
Gyepükaján,276,172,169,62.32,61.23,133,31,1,3,,,,1,,,,,,,170,61.59,22,,3,3,10,132,Falu
Gyermely,1163,894,884,76.87,76.01,530,271,31,,,4,41,7,,,,,,,888,76.35,264,2,39,5,43,523,Falu
Gyód,592,410,407,69.26,68.75,236,111,21,2,,3,24,10,,,,,,,405,68.41,116,4,19,2,22,231,Falu
Gyomaendrőd,10615,6523,6421,61.45,60.49,3476,2173,142,78,,51,501,,,,,,,,6443,60.7,2070,70,179,78,549,3434,Kisváros
Gyóró,98631,71985,71180,72.98,72.17,36671,27279,1642,1470,,200,3918,,,,,,,,71295,72.28,27123,520,2588,1064,4108,35781,Nagyváros
Gyömöre,397,270,267,68.01,67.25,207,49,,1,,,10,,,,,,,,267,67.25,55,1,6,3,9,193,Falu
Gyömrő,1373,1049,1036,76.4,75.46,581,316,51,17,,10,61,,,,,,,,1037,75.53,341,6,48,17,62,563,Falu
Gyöngyfa,316,232,230,73.42,72.78,181,33,,3,,,13,,,,,,,,231,73.1,33,1,5,2,16,174,Falu
Gyöngyös,102,66,63,64.71,61.76,35,19,,,,1,8,,,,,,,,64,62.75,20,2,,1,6,35,Falu
Gyöngyösfalu,1206,917,910,76.04,75.46,652,169,,16,,10,63,,,,,,,,908,75.29,181,9,25,10,86,596,Falu
Gyöngyöshalász,635,426,422,67.09,66.46,292,86,,7,,,36,,,,,1,,,423,66.61,75,2,14,3,34,261,Falu
Gyöngyösmellék,2728,1887,1862,69.17,68.26,1245,452,,39,,,122,,,,,4,,,1874,68.7,464,3,74,28,129,1175,Falu
Gyöngyösoroszi,1185,690,664,58.23,56.03,506,114,,6,,4,34,,,,,,,,679,57.3,116,7,1,3,29,523,Falu
